gene_id,Gene,Category,Subcategory,Narrative,Short Description,Mechanism,Achievements (effect sizes),Highest Evidence Tier,Confidence,Translational Gaps,Key References (DOIs),"Notes (limitations, contradictions, caveats)",Secondary Categories
dsup,Dsup,Stress Resistance,Radiation Shielding,"Tardigrades survive doses of radiation that would vaporize a human — and they carry a protein called Dsup that drapes itself over DNA like a molecular bodyguard. When Japanese researchers put Dsup into human HEK293 kidney cells in 2016, the cells shrugged off X-ray damage that would normally shred their chromosomes, with DNA breaks cut roughly in half at 10 Gy. In 2025, an MIT/Dana-Farber team used lipid nanoparticles — the same delivery system as COVID vaccines — to briefly paint Dsup onto mouse mouth and rectal tissue during radiotherapy, sparing healthy cells while still killing the tumor. That's the first real demonstration of tardigrade radioprotection in a living mammal. The catch: in rat cortical neurons, Dsup did the opposite, causing more DNA damage, not less. The bodyguard works in some cells and goes rogue in others, and nobody yet knows why.","Dsup is a tardigrade protein that can help shield DNA from some forms of radiation damage, acting a bit like a protective wrap around chromosomes. Early mouse and human-cell work is promising, but it also behaved badly in nerve cells, so this is not a simple universal shield.","Intrinsically disordered nucleosome-binding protein (HMGN-like C-terminal motif per Chavez 2019, revised from Hashimoto 2016 direct-DNA model); shields chromatin from hydroxyl radicals and ionizing radiation.","HEK293 at 10 Gy X-ray: comet tail DNA 33%→16% (~50% SSB reduction); H2O2: 71%→18%. Replicated in CHO, Drosophila, tobacco (UV-B recovery), yeast (longevity under H2O2). C. elegans: protection at 90 Gy X-ray without toxicity. Proton IR protection at 150 MeV. Rajesh/Kirtane 2025 Nat Biomed Eng: LNP-Dsup mRNA delivered to mouse buccal/rectal mucosa during radiotherapy reduced γH2AX and comet damage in peritumoral tissue while preserving tumor kill — first in-vivo mammalian demonstration.",T5 (transient mRNA/LNP 2025) + T6 (≥4 independent labs) + T3 (C. elegans),Medium,Germline transgenic mouse; durable delivery; heavy-ion/LET data; long-term mutagenesis surveillance; CNS-safe variant.,Hashimoto Nat Commun 2016 https://doi.org/10.1038/ncomms12808 | Chavez eLife 2019 https://doi.org/10.7554/eLife.47682 | Escarcega Mol Cell Neurosci 2023 https://doi.org/10.1016/j.mcn.2023.103826 | Kirtane/Rajesh Nat Biomed Eng 2025 https://doi.org/10.1038/s41551-025-01360-5,"CONTRADICTION: Escarcega 2023 — Dsup PROMOTED DSBs, chromatin condensation, and neurotoxicity in rat cortical neurons — opposite phenotype in CNS. Hashimoto direct-DNA-binding model superseded by nucleosome-binding (Chavez 2019). HEK293 protection is ~2-fold at best; no stable transgenic mouse. Basal chromatin perturbation and cell-type specificity unknown.",
has2_nmr,HAS2 (nmrHas2),Longevity & Genome,Hyaluronic Acid,"Naked mole-rats live over 30 years and almost never get cancer — a scandal for a rodent. Their secret is a gooey, ultra-high-molecular-weight form of hyaluronic acid that makes their tissues feel springy under tweezers. In 2023, the Gorbunova-Seluanov lab put the mole-rat version of the gene that makes this molecule (nmrHas2) into ordinary mice. The result: median lifespan rose 4.4% (9% in females), maximum lifespan +12%, and cancer deaths in aged mice dropped from 83% to 49%. The mice aged more gracefully — better grip strength, less inflammation, younger-looking guts. It's the first time a single naked mole-rat gene has clearly extended a mammal's life. One caveat: in a xenograft tumor model, the same gene actually helped cancer grow — so context matters, and the effect is smaller than calorie restriction or rapamycin. Still, the first rodent longevity gene transfer that worked.","Naked mole-rats make an unusually large, springy form of hyaluronic acid, and their version of HAS2 helped mice live a little longer with fewer cancers. The effect is real but modest, and the same biology can behave differently in tumor settings.","NMR-specific Asn→Ser substitutions in catalytic loop produce high-molecular-mass HA (HMM-HA, >6.1 MDa, ~5× mouse/human); anti-inflammatory M2 polarization via CD44; reduced hyaluronidase in NMR tissues.","Zhang 2023 Nature (conditional Tg C57BL/6, n=175): median lifespan +4.4% (♀ +9%), max +12.2% (♂ +16%). Spontaneous cancer mortality in old mice 83%→49%. Reduced DMBA/TPA papillomas. Lower frailty, preserved grip/rotarod, ↑bone connectivity (♀). Reduced plasma IL-12p40, MIP1α/β, CCL7 (aged ♀). BMDMs: ↓Il1b/Il6/Tnf, ↑Il10/Arg1 after LPS. Improved gut barrier; old intestinal organoids rescued by HMM-HA.",T5,Medium-High,Human cell/in-vivo HMM-HA work not published; primate data; delivery; durable engineering in humans with high HYAL1/2 activity.,Zhang Nature 2023 https://doi.org/10.1038/s41586-023-06463-0 | Tian Nature 2013 https://doi.org/10.1038/nature12234 | Hadi Nature 2020 https://doi.org/10.1038/s41586-020-2410-x,"CONTRADICTIONS: (1) Tian 2015 AACR abstract — nmrHas2 and huHAS2 both PROMOTED AsPC1 pancreatic xenograft growth (context-dependent oncogenicity). (2) Maison 2025 preprint — nmrHas2 did NOT rescue age-related hearing loss (tissue-selective). (3) Hadi 2020 — NMR cells CAN be transformed at high oncogene dose (complicates cancer-resistance narrative); rebuttal exchange. (4) N→S residues shared with guinea pig/cetaceans — not unique to NMR. Single lab, single cohort, not independently replicated; effect smaller than rapamycin or CR; ceiling effect from mouse hyaluronidase.",
cirbp,CIRBP,Stress Resistance,Cold-Inducible Repair,"Bowhead whales live past 200 years in Arctic waters without ever seeming to get cancer. In 2025, the Rochester group found that bowheads express a stress-response protein called CIRBP at roughly a hundred times human levels, and that the whale version is unusually stable. When they put bowhead CIRBP into human cells, DNA-break repair efficiency jumped 1.6-fold, with fewer of the chromosomal errors (micronuclei) that cancer cells accumulate. Expressing it in fruit flies extended their lifespan by about 20%. The mechanism looks less like bulletproof defense and more like meticulous proofreading — when damage happens, the whale cell fixes it right the first time, instead of leaving sloppy scars. There's an uncomfortable paradox: bowhead cells actually need fewer cancer mutations to transform than mouse cells do. They don't resist cancer by being hard to break; they resist it by being impossibly good at fixing the break.","Bowhead whales seem to use CIRBP as part of a very careful DNA-repair system that helps cells fix breaks cleanly. Human-cell and fly experiments look encouraging, but nobody has yet shown that it makes mammals live longer or resist cancer safely.","Cold-inducible RNA-binding protein (~18 kDa) with RRM + Gly-rich domain; localizes to DSBs; promotes Ku70/80 loading, stimulates XRCC4-LigIV end-joining; bowhead C-terminus confers enhanced protein stability; damage-site enrichment is RNase-A-sensitive.",Firsanov/Seluanov/Gorbunova 2025 Nature: bwCIRBP ~100× higher protein abundance in bowhead vs human/mouse. Expression of bwCIRBP in HUMAN CELLS enhanced NHEJ + HR efficiency ~1.6-fold; reduced micronuclei; purified protein stimulated in-vitro end-joining; Ku binding promoted. Drosophila overexpression of either bwCIRBP or hCIRBP extended lifespan ~20% and improved IR survival. Bowhead fibroblasts show higher DSB-repair fidelity and lower mutation rate.,T6 + T3 (Drosophila whole-organism longevity) + T2,Medium-High,Mouse Tg lifespan/cancer study; AAV/LNP delivery; safety vs eCIRP inflammatory pathway.,Firsanov Nature 2025 https://doi.org/10.1038/s41586-025-09694-5 | Qiang Nat Med 2013 https://doi.org/10.1038/nm.3368,"PARADOX: bowhead fibroblasts require FEWER oncogenic hits for transformation (cancer resistance is via repair fidelity, not barrier strength). CIRBP has DUAL ROLES: extracellular CIRP (eCIRP) is a pro-inflammatory DAMP in sepsis/I-R injury (Qiang 2013); CIRBP has pro-tumorigenic roles in HCC/breast cancer — context-dependent. Identity of the causal longevity factor is one of many differentially expressed (RPA2 also ↑).",
sod2,SOD2,Stress Resistance,Mitochondrial Antioxidant,"For decades, SOD2 was the poster child for the free-radical theory of aging: it neutralizes superoxide in mitochondria, so surely more of it means a longer life. It didn't work. When multiple labs engineered mice to produce twice the normal SOD2 across their whole lives, the mice lived exactly as long as controls. Oxidative damage dropped, paraquat tolerance improved, but the aging clock didn't move. Even more awkwardly, deleting the SOD2-equivalent gene in nematode worms actually extended their lifespan. Naked mole-rats, held up as proof that high SOD2 means longevity, turn out to have plenty of oxidative damage themselves. The honest conclusion from 20 years of mouse work is that topping up a single antioxidant enzyme isn't enough to move the needle on aging — the cellular network compensates. SOD2 is genuinely important for survival, but it is not a longevity lever.","SOD2 helps mitochondria clean up reactive oxygen stress, which sounds like it should slow aging. In long-running mouse studies, extra SOD2 reduced some damage but did not extend lifespan, making it more of a survival helper than a longevity switch.",Mitochondrial O2•− → H2O2 dismutase.,"Jang 2009 J Gerontol A (n=97) and Pérez 2009 Aging Cell: ~2-fold MnSOD overexpression in C57BL/6 mice across life — NO LIFESPAN EXTENSION, no change in age-related pathology, despite reduced lipid peroxidation and paraquat resistance. Hu 2007 (small n=54) reported +4% mean, +18% max but not replicated. Sod2+/− mice (Van Remmen 2003): ↑oxidative DNA damage, ↑cancer, NO lifespan change.",T5 (multiple cohorts),Low for longevity (HIGH for NO effect),"Not a viable stand-alone longevity target. Would require combinatorial context (e.g., with catalase-to-mitochondria).",Jang J Gerontol A 2009 https://doi.org/10.1093/gerona/glp100 | Pérez Aging Cell 2009 https://doi.org/10.1111/j.1474-9726.2008.00449.x | Andziak Aging Cell 2006 https://doi.org/10.1111/j.1474-9726.2006.00237.x | Van Raamsdonk/Hekimi PLoS Genet 2009 https://doi.org/10.1371/journal.pgen.1000361 | Van Remmen Physiol Genomics 2003 https://doi.org/10.1152/physiolgenomics.00122.2003,STRONGLY CONTRADICTED as a longevity target. Van Remmen/Richardson consortium concluded: major antioxidant enzymes insufficient to extend lifespan. C. elegans sod-2 DELETION EXTENDS lifespan (Van Raamsdonk 2009) — opposite direction. NMR has high Sod2 AND high baseline oxidative damage (Andziak 2006) — high Sod2 alone is not mechanistic. SOD2 overexpression can induce p53-dependent senescence (Behrend 2005). ~2× overexpression may be below threshold; antioxidant network compensates.,
foxo3,FOXO3,Longevity & Genome,Stress-Response Transcription,"If you had to bet on a single gene associated with human longevity, FOXO3 is the safest bet in biology. One variant of it (rs2802292) shows up across centenarian populations — Okinawan Japanese, German, Italian, American — in study after study. Willcox 2008 found that Hawaiian men homozygous for the longevity allele were 2.75 times more likely to reach 95 than the general population. FOXO3 is a stress-response conductor, switching on the cell's repair and recycling programs when things get rough. Here's the uncomfortable gap: despite being the strongest human genetic signal for long life besides APOE, no one has ever made a mouse overexpress FOXO3 and lived longer. The experiment that would close the loop — take the centenarian-linked gene, put it in a mammal, measure lifespan — has simply never been published. It's the biggest unopened box in the longevity genetics field.","FOXO3 is one of the strongest human genetic clues linked to exceptional old age, especially in centenarian studies. It turns on repair and stress-response programs, but the key gain-of-function experiment in mammals is still missing.","Stress-responsive transcription factor downstream of insulin/IGF-1 signaling; drives SOD2, catalase, GADD45, autophagy, p27.","Willcox 2008 PNAS, Okinawan Hawaiian men: rs2802292 homozygotes OR 2.75 (95% CI 1.51–5.02) for age ≥95; heterozygotes OR 1.91. Replicated in German (Flachsbart 2009), Italian, CHARGE, ≥11 cohorts; meta-OR ~1.5. FOXO3 + APOE are the two reproducible longevity loci. Renault 2009: FoxO3-KO depletes adult neural stem cells. No published whole-mouse FOXO3 overexpression lifespan study.",T7 (association only) + T4/T5 for loss-of-function,High (association); Low (gain-of-function transfer),The single largest gap in the library: NO mouse Tg FOXO3 overexpression lifespan data; no activator in trials; tissue-specific forebrain overexpression was neurotoxic (Arruda-Carvalho 2014).,Willcox PNAS 2008 https://doi.org/10.1073/pnas.0801030105 | Flachsbart PNAS 2009 https://doi.org/10.1073/pnas.0809594106 | Broer J Gerontol A 2015 (CHARGE) https://doi.org/10.1093/gerona/glu166,"Effect is associative only; OR modest (~1.5 in meta); sex-specific (stronger in men, unexplained); FOXO3 is pro-oncogenic in glioma/AML stem cells (Sunayama 2011). Forebrain overexpression neurotoxic. The enhancement chain — human variant → mammalian gain-of-function → longevity — is NOT closed experimentally.",
klotho,Klotho (αKlotho),Longevity & Genome,Anti-Aging Hormone,"Klotho is named after the Greek fate who spins the thread of life, and for once the name fits. Japanese researchers discovered it in 1997 by accident — mice that lacked it aged catastrophically fast, dying by 60 days. The reverse is equally dramatic: mice engineered to produce extra Klotho live about 20% longer, and delivering a secreted form via gene therapy extends life in adult mice too. In 2023, Stanford's Dena Dubal showed that a single injection of recombinant Klotho improved working memory in aged rhesus macaques for about two weeks — the first time a longevity protein has improved cognition in a primate. Humans who carry one copy of the KL-VS variant are enriched among the very old and score better on executive function tests. The twist: people with two copies fare worse, not better. The therapeutic window is narrow, and the Kurosu 2005 lifespan result has not been independently replicated at cohort scale.","Klotho is a hormone-like protein tied to healthier aging, better cognition, and longer life in some mouse studies. It has a narrow sweet spot: too little is harmful, but too much or the wrong variant can also cause problems.","Transmembrane + cleaved soluble hormone; FGF23 co-receptor; represses insulin/IGF signaling via AKT; modulates Wnt, TRPV5, NMDAR GluN2B.","Kurosu 2005 Science: EFmKL46/48 Tg C57BL/6 ♀ median lifespan +19%, ♂ ~20–30%. Hyperinsulinemia, reduced ♀ fecundity. Kuro-o 1997: KL-null = premature-aging syndrome. Dubal 2014: Tg Klotho improves cognition independent of aging. AAV9-sKL (secretory Klotho) gene therapy: +20% median lifespan in male mice, improved muscle regeneration, bone structure, neurogenesis. Human KL-VS heterozygotes: longevity enrichment (Arking 2002/2005), better executive function, reduced APOE4-amyloid (Erickson 2019), n>700 across cohorts. Castner/Dubal 2023: aged rhesus macaques given 10 μg/kg sc recombinant Klotho → improved spatial working memory ~2 weeks; INVERTED-U dose response (20–30 μg/kg null).",T7 (human association) + T5 (mouse lifespan) + T5 (primate cognition),"High (mouse lifespan, single study) + High (KL-VS cognition) + Medium (therapeutic protein)",Human RCT; safety of chronic IIS suppression; BBB penetration; narrow therapeutic window.,Kurosu Science 2005 https://doi.org/10.1126/science.1112766 | Kuro-o Nature 1997 https://doi.org/10.1038/36285 | Dubal Cell Reports 2014 https://doi.org/10.1016/j.celrep.2014.03.076 | Castner Nat Aging 2023 https://doi.org/10.1038/s43587-023-00441-x,MIXED METABOLIC EFFECTS: Lifespan Tg mice were hyperinsulinemic (IR-resembling); KL-VS HOMOZYGOTES (VS/VS) have DECREASED longevity and poorer cognition — classic overdominance. Elevated FGF23/Klotho axis in CKD is a cardiovascular mortality marker. High-dose Klotho LOST cognitive benefit in primates (inverted-U). ♀ fecundity reduced. Kurosu 2005 lifespan result not independently replicated at cohort scale.,
tp53_elephant,TP53 (elephant multi-copy),Longevity & Genome,Tumor Suppression,"Elephants solve Peto's paradox — why isn't a whale a walking tumor? — with brute-force redundancy. Where humans carry one copy of the tumor-suppressor gene TP53, African elephants carry roughly twenty, most as retrogenes (DNA photocopies re-inserted into the genome). The functional consequence is a cellular hair-trigger for self-destruction. In Joshua Schiffman's 2015 JAMA study, when elephant white blood cells were hit with radiation, 14.6% committed suicide — compared to 7.2% of human cells and 2.7% of cells from Li-Fraumeni syndrome patients (who have only one working TP53 copy and develop cancer relentlessly). Life expectancy-adjusted cancer rates in elephants run about 5% versus 11–25% in humans. The story isn't fully clean: Vincze 2022 found elephants get somewhat more cancer than Schiffman suggested, and Preston 2023 couldn't replicate the key MDM2-binding experiment from the original paper. But the 2× apoptosis difference is real and reproducible.","Elephants carry many extra TP53 copies, giving their cells a stronger tendency to self-destruct when DNA damage looks dangerous. That may help explain their low cancer burden, but turning up TP53 in humans could also accelerate aging or harm healthy tissue.",~20 TP53 copies (1 canonical + ~19 retrogenes); proposed MDM2 decoy + lower apoptotic threshold + LIF6 reactivation.,"Abegglen 2015 JAMA: at 2 Gy IR, PBL apoptosis 14.64% (elephant) vs 7.17% (human) vs 2.71% (LFS) (Annexin-V+/PI+). Dose-dependent with TP53 allele number. Elephant cancer mortality 4.8% vs human 11–25%. Sulak 2016 eLife: TP53RTG12 in mouse 3T3-L1 augmented apoptosis (modest). Abegglen 2023 AACR Abstract 45: EP53 knock-in mice + Tet-inducible EP53-R9 at safe harbor — improved survival after 3-methylcholanthrene carcinogen challenge (abstract only). Vazquez 2018 Cell Rep: LIF6 14.3-fold p53-inducible in elephant fibroblasts.",T5 (abstract-only Tg mouse) + T4 (published 3T3-L1) + T6 (see TP53-RTG9),High (phenotype); Medium (heterologous causation),Peer-reviewed Tg mouse work; rescue of LFS cells; peptide-mimetic trials (Peel Therapeutics preclinical).,Abegglen JAMA 2015 https://doi.org/10.1001/jama.2015.13134 | Sulak eLife 2016 https://doi.org/10.7554/eLife.11994 | Vazquez Cell Reports 2018 https://doi.org/10.1016/j.celrep.2018.07.042,CONTRADICTIONS: (1) Vincze 2022 Nature — broader zoo survey found elephants have higher cancer rates than Abegglen suggested (still low-for-size). (2) Preston 2023 DID NOT replicate Abegglen 2015 MDM2 co-IP. (3) Germline-protection-not-cancer-resistance hypothesis (Trends Ecol Evol 2023) challenges the framing. (4) García-Cao/Tyner 2002 — Trp53-overexpression mice showed accelerated aging — why elephants escape this tradeoff is unresolved. n=8 elephants in Abegglen 2015; no immortalized elephant cell lines.,
mgmt_p140k,MGMT (P140K),Longevity & Genome,Alkylation Repair,"This is the only gene on this list that has actually saved human lives in a clinical trial. MGMT repairs a specific kind of chemotherapy-induced DNA damage, and a lab-engineered variant called P140K is resistant to a drug that shuts off the tumor's own MGMT. The strategy, pioneered by Jennifer Adair at Fred Hutch: take the patient's bone-marrow stem cells, install MGMT-P140K with a lentivirus, infuse them back, then give chemotherapy. The healthy stem cells now out-survive the tumor. In seven patients with an aggressive glioblastoma subtype (NCT00669669), median survival reached roughly 20 months versus the historical 12. Engraftment was durable. The caveats are serious: a pediatric version of the trial failed to produce lasting engraftment, and some integration clones raised concern about eventual leukemia. And endogenous MGMT in tumors is itself a villain — the gene cuts both ways depending on which cell it lives in.","MGMT-P140K is an engineered DNA-repair variant that has already helped protect patient bone marrow during chemotherapy trials. It is one of the most clinically grounded genes here, but it protects against a narrow kind of damage and can be risky in the wrong cells.","Suicide direct-reversal repair of O6-alkyl-guanine; P140K variant ~240× resistant to O6-benzylguanine inhibitor, enabling in vivo chemoselection of transduced HSCs.","**THE ONLY GENE IN THIS LIBRARY WITH PEER-REVIEWED HUMAN CLINICAL EFFICACY DATA.** Adair 2012 Sci Transl Med: n=3 MGMT-unmethylated GBM; lentiviral P140K-transduced autologous CD34+; in-vivo selection during chemo; all 3 exceeded historical median OS (~12 mo); one >2-year PFS. Adair 2014 JCI (NCT00669669, n=7): median OS ~20 mo vs historical ~12 mo in MGMTu-GBM; polyclonal engraftment; PRDM16 and HMGA2 integration clones without adverse events. Dog/NHP long-term engraftment precedents.",T7 (human clinical trial),"High (feasibility, safety); Medium (efficacy magnitude, small n, historical controls)",Phase III trial; CRISPR-HDR / prime-editing replacement for lentivirus to reduce integration clonality; broader indications beyond TMZ-treated MGMTu-GBM.,Adair Sci Transl Med 2012 https://doi.org/10.1126/scitranslmed.3003541 | Adair JCI 2014 https://doi.org/10.1172/JCI74325 | Kramer Hum Gene Ther 2018 https://doi.org/10.1089/hum.2017.211,"FAILURE IN PEDIATRIC TRIAL: Kramer 2018 — only transient low-level engraftment in 4/7 pediatric patients; no chemoprotection. Integration clones (PRDM16, HMGA2) flagged but no leukemia to date. ALKYLATION-SPECIFIC — does NOT protect against ionizing radiation or oxidative damage. DOUBLE-EDGED: endogenous MGMT overexpression in tumors is a POOR-PROGNOSIS TMZ-resistance marker — gene is protective in HSCs but pathogenic in glioma; O6BG co-dosing required for chemoselection but causes its own toxicity.",
tert,TERT,Regeneration,Telomerase,"Every time a cell divides, the protective caps on its chromosomes — telomeres — get a little shorter. TERT is the enzyme that rebuilds them, and most adult human cells turn it off, which is why we can't keep dividing forever. In 2012, María Blasco's lab delivered TERT via an AAV virus to one- and two-year-old mice: median lifespan rose 24% in the younger group, 13% in the older, with no increase in cancer. Earlier work showed that combining TERT with extra tumor suppressors pushed median lifespan +40%. The cancer caveat is unavoidable: TERT is the most frequently reactivated gene in human tumors, and its promoter is among the most commonly mutated regions in melanoma and brain cancer. The mouse results are real, but mouse telomeres start out five times longer than human ones. And the lobster-immortality story — which the popular press loves — is folklore, not data.","TERT rebuilds telomeres, the protective caps that shorten as cells divide, and mouse gene therapy studies have extended lifespan without extra cancer in those experiments. The danger is that many human cancers reactivate TERT, so safe use would require very careful control.",Catalytic subunit of telomerase; extends TTAGGG telomere repeats; non-canonical mitochondrial/anti-apoptotic roles.,"Bernardes de Jesus/Blasco 2012 EMBO Mol Med (AAV9-mTERT in C57BL/6): 1-year-old mice median lifespan +24%; 2-year-old +13%; NO increase in cancer; improved insulin sensitivity, reduced osteoporosis, better neuromuscular coordination. Catalytic-dead null. Tomás-Loba 2008 Cell: TgTERT on tumor-suppressor-enhanced background (Sp53/Sp16/SARF) +40% median lifespan. Jaskelioff 2011 Nature: TERT reactivation reverses degeneration in Terc−/− mice. hTERT immortalization of human cells (Bodnar 1998) well-established. Klapper 1998 FEBS Lett: high telomerase activity with TTAGG repeats in all major lobster organs throughout life (source organism only).","T5 (replicated across labs, multiple mouse modalities) + T6 (hTERT immortalization universal)",High (mouse); Low (safe human translation),Human RCT; durable somatic delivery; cancer surveillance; combinatorial tumor-suppressor platform.,Bernardes de Jesus EMBO Mol Med 2012 https://doi.org/10.1002/emmm.201200245 | Tomás-Loba Cell 2008 https://doi.org/10.1016/j.cell.2008.09.034 | Jaskelioff Nature 2011 https://doi.org/10.1038/nature09603 | Klapper FEBS Lett 1998 https://doi.org/10.1016/S0014-5793(98)01357-X,"CANCER RISK: Germline TERT Tg is tumorigenic without tumor-suppressor co-enhancement (Artandi 2002, González-Suárez 2001). ~85–90% of human cancers reactivate TERT; promoter mutations are among the most common somatic mutations (melanoma, GBM, bladder). Mouse telomeres ~50 kb vs human ~10 kb — extrapolation fraught. Liz Parrish / BioViva n=1 self-experimentation (AAV-hTERT + follistatin) is UNCONTROLLED, UNPUBLISHED, qPCR-based, and NOT valid evidence. Lobster ""immortality"" is folk-science — only high telomerase activity has been demonstrated (Klapper 1998).",
aqp1,AQP1,Environmental Adaptation,Water Transport,"Aquaporins are tiny membrane pores that let water flow through cells about ten times faster than simple diffusion. Peter Agre won the 2003 Nobel for discovering them, after putting human AQP1 into frog eggs and watching them swell and burst. In mammals, knocking out AQP1 leaves mice producing dilute urine and losing weight when water is scarce — though the human version of this defect (Colton-null blood group) is essentially symptomless. The Australian water-holding frog survives months of drought in a cocoon, and is often cited as having a super-charged AQP1, but here's the awkward truth: the frog's actual AQP1 has never been cloned or tested in the lab. The entire chain — identify the special frog gene, transfer it to mammals, enhance hydration — is missing its first link. Even worse for the premise: in lungfish, AQP1 mRNA goes down during estivation, not up.","AQP1 is a water-channel protein that helps cells move water quickly, and mammalian AQP1 biology is well understood. The famous water-holding frog story is much less proven: its special AQP1 has not actually been cloned and tested as an enhancement.",Constitutively active water-selective tetrameric channel; ubiquitous in mammals.,"AQP1 generally: Preston 1992 (Agre) Xenopus-oocyte Pf 10–20× rise. Ma/Verkman 1998: AQP1-KO mice have 5–8× reduced proximal tubule Pf, 35% body-mass loss on water deprivation; urine osmolality 1081→505 mOsm. Colton-null humans subclinical. Cyclorana-SPECIFIC AQP1 has NOT been cloned or functionally characterized — source-organism work is whole-animal (bladder storage up to 50–60% body mass; plasma 487 mOsm/kg during 15-month estivation; Cartledge 2008). Desiccation tolerance is cocoon + metabolic depression + AQP2-type skin channels + urea, not AQP1 alone.",T7 for mammalian endogenous AQP1 (Colton-null); T0–T1 for Cyclorana-specific AQP1,High (mammalian baseline); N/A (species-specific enhancement),Entire frog-AQP-enhancement chain is missing: Cyclorana AQP cDNA not published; no heterologous expression in mammalian systems.,Preston Science 1992 https://doi.org/10.1126/science.256.5055.385 | Ma JBC 1998 https://doi.org/10.1074/jbc.273.8.4296 | Cartledge Physiol Biochem Zool 2008 https://doi.org/10.1086/588489,CONTRADICTION to more-AQP1=more-retention model: lungfish aqp1 mRNA DECREASES during aestivation induction (Chng 2016) — opposite direction. Colton-null humans are asymptomatic → gain-of-function unlikely to be dramatic. Mammalian AQP1 phenotype is mild at baseline.,
