org_id,gene_id,stage,delivery_method,target_organism,price_usd,year_started,regulatory_status,peer_reviewed,trial_id,evidence_summary,notes,source_url
adair_lab,mgmt_p140k,phase_1_2,lentiviral,human,,2012,fda_ind,true,,GBM patients: mPFS improvement with MGMT-P140K-modified hematopoietic cells + TMZ,Only gene in the library with peer-reviewed human clinical efficacy data (Adair 2017 Clin Cancer Res),https://doi.org/10.1158/1078-0432.CCR-16-2263
albert_einstein_college_of_medicine_institut,sirt6_cent_variant,preclinical,,,,,,true,,"Source of the Ashkenazi Jewish centenarian cohort (450 centenarians, 550 controls) in which the allele was found enriched.",Stage as reported: human cohort.,https://doi.org/10.15252/embj.2021110393
arrowhead_pharmaceuticals,apoc3_lof,phase_3,"siRNA (RNAi), subcutaneous quarterly dosing",,,,"Plozasiran marketed as REDEMPLO; multiple phase 3 programmes ongoing (NCT06347016, NCT06347133, NCT06880770)",true,NCT05089084,"Second independent APOC3-silencing agent, RNAi rather than ASO, validating the target by a distinct modality.",Stage as reported: marketed / phase 3.,https://clinicaltrials.gov/study/NCT05089084
astrazeneca_centre_for_genomics_research_cvr,slc30a8_ko,preclinical,,,,,,true,,"Co-author on the 2025 human-knockout study, which concludes therapeutic inhibition of SLC30A8 up to and including complete knockout may treat type 2 diabetes.",Stage as reported: target validation.,https://doi.org/10.1007/s00125-025-06530-3
avai_bio,klotho,preclinical,cell_therapy,human,,2025,academic,false,,GMP Master Cell Bank completed May 2026; Cell-in-a-Box (Austrianova) encapsulated cell therapy,Klothonova JV; data presentation at 2nd Annual Klotho Conference Sept 2026,https://www.prnewswire.com/news-releases/the-longevity-protein-race-reaches-manufacturing-one-microcap-just-completed-a-gmp-master-cell-bank-for-its-anti-aging-klotho-therapy-302820517.html
bakkers_lab,lrrc10_cardiac,preclinical,,Danio rerio,,2021,academic,true,,Contributed to understanding LRRC10 function in zebrafish heart regeneration and cardiomyocyte proliferation.,,https://doi.org/10.1038/s41467-021-27389-1
bialkowska_lab,gaafp_glaciozyma,preclinical,recombinant expression (Pichia pastoris),,,2024,academic,true,,Recombinant GaAFP at 26.57 kDa with IRI and cryoprotective effect in frozen food. Increased yeast cell survival after freezing.,,https://doi.org/10.1371/journal.pone.0318459
biomedical_research_at_novartis,slc30a8_ko,preclinical,,,,,,true,,Co-author on the complete-knockout study; corresponding author affiliation.,Stage as reported: target validation.,https://doi.org/10.1007/s00125-025-06530-3
bioviva,fst344,commercial,AAV,human,,2018,unregulated,false,,Follistatin gene therapy offered alongside TERT,Less information available than their TERT offering,https://bioviva-science.com/
bioviva,tert,commercial,AAV,human,2500000,2015,unregulated,false,,CEO Liz Parrish self-experimented 2015 (Colombia); claims telomere lengthening ~5.3 yr/yr; 300+ patients by 2025,No peer-reviewed validation; significant scientific skepticism,https://www.forbes.com/sites/calumchace/2022/10/21/extending-health-spans-by-extending-telomeres-profile-of-liz-parrish/
bitop_ag,ectabc_halomonas,commercial,topical mucosal and dermal formulations of the purified molecule,,,,CE-marked medical devices in the EU; ectoine is also a widely used cosmetic ingredient. Not an approved drug.,true,NCT01471184,"Placebo-controlled cross-over trial in 46 allergic rhinoconjunctivitis patients showed baseline-adjusted AUC differences of -1.87 TNSS, -1.45 TOSS, -2.20 TNNSS versus placebo.",Stage as reported: marketed (medical device / cosmetic ingredient).,https://clinicaltrials.gov/study/NCT01471184
blasco_lab,tert,preclinical,AAV9,mouse,,2012,academic,true,,AAV9-TERT in 1-year and 2-year-old mice: +24% and +13% median lifespan; no increased cancer incidence,Bernardes de Jesus 2012 EMBO Mol Med,https://doi.org/10.1002/emmm.201200245
boothby_lab,mahs_tardigrade,preclinical,heterologous expression,,,2017,academic,true,,"Demonstrated TDPs (CAHS, SAHS, MAHS families) vitrify upon desiccation and stabilize biologics including Factor VIII without refrigeration.",,https://doi.org/10.1016/j.molcel.2017.02.018
broad_institute_massachusetts_general_hospit,cetp_lof,preclinical,,,,,not a therapeutic program,true,,"Source of all four quantified effect sizes: HDL +22.6 mg/dL, LDL -12.2 mg/dL, triglycerides -6.3%, CHD OR 0.70, carrier frequency 1 in 975.",Stage as reported: human genetics; no therapeutic program.,https://doi.org/10.1161/CIRCRESAHA.117.311145
